region,useCard,dCard,income,education,age,age2,dPhone
1,1,1,10,1,40,1600,1
1,15,1,NA,0,43,1849,1
1,2,1,5.633333333,1,38,1444,1
1,3,1,7.366666667,0,51,2601,1
1,0,0,5.2,0,53,2809,1
1,5,1,43.33333333,0,24,576,1
1,2,1,10.83333333,0,40,1600,1
1,2,1,0,0,58,3364,1
1,20,1,0,1,65,4225,1
1,0,0,10,1,49,2401,1
1,2,1,6,0,50,2500,0
1,1,1,0,1,82,6724,1
1,2,1,6.5,1,22,484,1
1,2,1,15,1,30,900,1
1,0,0,8.666666667,1,23,529,1
1,1,1,11,1,37,1369,1
1,1,1,0,1,28,784,1
1,8,1,12,1,39,1521,1
1,0,0,8.666666667,0,49,2401,0
1,20,1,NA,1,46,2116,1
1,0,0,24,1,45,2025,1
1,1,1,6.5,0,61,3721,1
1,1,1,16.46666667,1,63,3969,1
1,2,1,80,1,63,3969,1
1,10,1,13,1,24,576,1
1,0,0,0,0,69,4761,1
1,20,1,40,1,26,676,1
1,0,0,11,0,52,2704,1
1,0,0,0,0,60,3600,1
1,2,1,5.8,0,36,1296,1
1,4,1,0,0,26,676,1
1,0,0,0,1,20,400,1
1,2,1,20,1,39,1521,1
1,0,0,8,1,31,961,1
1,8,1,0,0,18,324,1
1,0,0,0,0,65,4225,0
1,0,0,12,1,38,1444,1
1,0,0,26,0,40,1600,1
1,2,1,30,1,55,3025,1
1,2,1,8,0,50,2500,1
1,0,0,5.633333333,0,18,324,1
1,2,1,23,1,36,1296,1
1,1,1,10,0,42,1764,1
1,1,1,20,1,30,900,1
1,0,0,0,0,36,1296,1
1,2,1,26,1,30,900,1
1,0,0,0,0,32,1024,1
1,2,1,10,1,28,784,1
1,6,1,20,1,50,2500,1
1,0,0,12,0,43,1849,1
1,0,0,20,1,39,1521,1
1,0,0,NA,0,45,2025,1
1,0,0,10,0,50,2500,1
1,1,1,18,1,36,1296,1
1,2,1,11,0,37,1369,1
1,0,0,3,1,25,625,1
1,0,0,5.2,0,39,1521,1
1,0,0,15.16666667,0,25,625,1
1,0,0,1.083333333,0,71,5041,0
1,0,0,7.8,0,25,625,1
1,0,0,5.2,0,37,1369,1
1,0,0,6.5,0,49,2401,1
1,0,0,0,1,42,1764,1
1,0,0,0,0,66,4356,0
1,0,0,0,0,70,4900,0
1,2,1,0,0,66,4356,1
1,2,1,0,1,53,2809,1
1,0,0,21.66666667,1,37,1369,1
1,2,1,6.5,1,26,676,1
1,0,0,20,1,51,2601,1
1,2,1,13,1,28,784,1
1,2,1,5.2,0,53,2809,1
1,25,1,60,1,40,1600,1
1,4,1,NA,1,47,2209,1
1,15,1,20,1,27,729,1
1,1,1,16,0,52,2704,1
1,0,0,0,1,79,6241,1
1,0,0,5.416666667,0,50,2500,1
1,1,1,0,0,58,3364,1
1,1,1,4.333333333,1,23,529,1
1,0,0,10,0,49,2401,1
1,1,1,12.13333333,0,34,1156,1
1,0,0,10.83333333,0,36,1296,1
1,0,0,13,0,48,2304,1
1,5,1,10,1,29,841,0
1,2,1,10,0,49,2401,1
1,2,1,6.5,1,25,625,1
1,0,0,9,0,20,400,1
1,0,0,0,0,54,2916,1
1,0,0,0,0,66,4356,1
1,5,1,0,1,68,4624,0
1,0,0,6,1,22,484,1
1,3,1,15,0,41,1681,1
1,30,1,0,1,21,441,1
1,0,0,0,1,66,4356,1
1,0,0,24,1,44,1936,1
1,1,1,NA,0,35,1225,1
1,0,0,6.4,0,40,1600,1
1,0,0,4.4,0,23,529,1
1,1,1,6,0,43,1849,1
1,0,0,7.2,0,46,2116,1
1,0,0,7,0,31,961,1
1,0,0,6.5,0,39,1521,1
1,2,1,0,1,26,676,1
1,0,0,3.466666667,1,32,1024,1
1,1,1,8.666666667,0,20,400,1
1,1,1,11.7,0,27,729,1
1,0,0,NA,0,21,441,1
1,0,0,14.73333333,0,22,484,1
1,0,0,0,1,20,400,1
1,1,1,0,1,22,484,1
1,0,0,0,0,54,2916,1
1,0,0,12,1,26,676,1
1,1,1,0,0,22,484,1
1,2,1,7.5,0,20,400,1
1,0,0,8,0,37,1369,1
1,1,1,20,1,36,1296,1
1,2,1,6,0,48,2304,1
1,3,1,8,1,44,1936,1
1,5,1,14,0,48,2304,1
1,0,0,0,1,32,1024,1
1,2,1,5.2,0,21,441,1
1,0,0,15.16666667,0,42,1764,1
1,0,0,0,0,34,1156,1
1,1,1,6.5,1,25,625,1
1,1,1,8,0,28,784,1
1,1,1,7.8,0,38,1444,1
1,4,1,10,0,53,2809,1
1,0,0,5.2,0,71,5041,0
1,0,0,0,0,34,1156,0
1,0,0,5.2,0,20,400,1
1,0,0,5.633333333,0,42,1764,1
1,0,0,6.066666667,0,31,961,1
1,0,0,5.2,0,34,1156,1
1,0,0,6.5,0,36,1296,1
1,2,1,5.2,0,34,1156,1
1,0,0,0,0,50,2500,1
1,1,1,0,0,23,529,1
6,6,1,10,1,38,1444,1
6,3,1,13,1,28,784,1
6,1,1,0,0,23,529,1
6,1,1,10,1,36,1296,1
6,0,0,17.33333333,0,41,1681,1
6,0,0,6.066666667,0,34,1156,1
6,1,1,8,1,27,729,1
6,1,1,0,0,20,400,1
6,1,1,0,1,64,4096,1
6,0,0,5.3,1,29,841,1
6,3,1,6.066666667,0,31,961,1
6,1,1,6.5,1,32,1024,1
6,0,0,13,1,35,1225,1
6,4,1,17.33333333,1,36,1296,1
6,0,0,8,1,58,3364,1
6,1,1,12,1,25,625,1
6,0,0,10,1,30,900,1
6,1,1,14,0,52,2704,1
6,0,0,16,1,34,1156,1
6,1,1,0,1,29,841,1
6,0,0,1.733333333,0,60,3600,1
6,4,1,0,0,70,4900,1
6,15,1,21,1,54,2916,1
6,0,0,7.5,0,50,2500,1
6,1,1,26,1,27,729,1
6,1,1,13,0,31,961,1
6,1,1,15,1,39,1521,1
6,1,1,0,0,68,4624,1
6,4,1,5.633333333,0,23,529,1
6,1,1,0,0,65,4225,1
6,1,1,0,1,71,5041,1
6,1,1,6,0,98,9604,1
6,0,0,3,0,44,1936,1
6,3,1,5.633333333,0,32,1024,1
6,1,1,16,1,53,2809,1
6,1,1,4.8,0,37,1369,1
6,1,1,7,1,35,1225,1
6,0,0,12,1,33,1089,1
6,0,0,6,0,27,729,1
6,2,1,6.2,0,46,2116,1
6,4,1,9,0,33,1089,1
6,3,1,9,1,28,784,1
6,1,1,8.666666667,0,35,1225,1
6,0,0,15,1,39,1521,1
6,0,0,10,1,32,1024,1
6,0,0,6,1,38,1444,1
6,0,0,10.83333333,0,30,900,1
6,0,0,3,1,21,441,1
6,0,0,0,1,38,1444,1
6,0,0,0,0,65,4225,1
6,0,0,6.5,0,52,2704,1
6,0,0,6.066666667,0,34,1156,1
6,5,1,NA,1,40,1600,1
6,3,1,6,0,44,1936,1
6,0,0,0,0,77,5929,0
6,2,1,4,0,19,361,1
6,0,0,4.333333333,0,54,2916,1
6,18,1,2,1,24,576,1
6,0,0,3.4,1,40,1600,1
6,0,0,8.666666667,0,72,5184,1
6,1,1,0,0,32,1024,1
6,0,0,3,0,31,961,0
6,1,1,10,0,34,1156,1
6,1,1,0,0,56,3136,1
6,1,1,0,1,67,4489,1
6,0,0,2.6,0,30,900,1
6,0,0,4,0,39,1521,1
6,0,0,10,0,55,3025,1
6,0,0,1.733333333,0,44,1936,1
6,0,0,0,0,70,4900,0
6,0,0,13,1,36,1296,1
6,0,0,NA,1,50,2500,1
6,0,0,6,1,36,1296,1
6,0,0,0,0,29,841,1
6,0,0,NA,1,33,1089,1
6,0,0,0,0,49,2401,1
6,4,1,0,0,49,2401,1
6,0,0,0,0,18,324,1
6,1,1,0,1,32,1024,1
6,1,1,3.5,1,33,1089,1
6,0,0,13,0,22,484,1
6,0,0,NA,0,52,2704,1
6,1,1,13,0,21,441,1
6,3,1,0,0,53,2809,1
6,1,1,7.8,0,37,1369,1
6,10,1,NA,1,30,900,1
6,0,0,0,0,26,676,1
6,2,1,9,0,37,1369,1
6,0,0,10.5,0,43,1849,1
6,0,0,0,0,46,2116,1
6,4,1,6.933333333,0,40,1600,1
6,0,0,0,0,50,2500,0
6,0,0,4.333333333,0,40,1600,1
6,0,0,1.3,0,28,784,1
2,0,0,7,0,59,3481,1
2,0,0,7.366666667,0,40,1600,1
2,0,0,7.8,0,26,676,1
2,0,0,6.5,0,33,1089,1
2,0,0,7,1,98,9604,1
2,0,0,6.5,1,29,841,1
2,1,1,7.366666667,0,39,1521,1
2,0,0,5.2,0,50,2500,1
2,3,1,8.666666667,1,42,1764,1
2,2,1,NA,1,63,3969,1
2,4,1,0,1,74,5476,0
2,0,0,4.333333333,0,60,3600,0
2,0,0,0,1,62,3844,0
2,6,1,6.5,1,66,4356,1
2,1,1,10,1,36,1296,1
2,0,0,6,0,42,1764,1
2,0,0,0,0,50,2500,0
2,3,1,10.83333333,1,29,841,1
2,3,1,0,1,32,1024,1
2,1,1,11,1,36,1296,1
2,0,0,6,0,51,2601,1
2,0,0,6,0,48,2304,1
2,7,1,0,0,30,900,1
2,0,0,7.366666667,0,59,3481,0
2,0,0,6,0,38,1444,1
2,20,1,0,1,70,4900,1
2,0,0,0,0,72,5184,1
2,0,0,7.8,0,49,2401,0
2,1,1,10.83333333,0,36,1296,1
2,1,1,6.5,0,53,2809,0
2,1,1,10,1,43,1849,1
2,0,0,0,0,46,2116,0
2,0,0,5.6,0,50,2500,1
2,1,1,48,1,32,1024,1
2,2,1,20,0,59,3481,1
